index,i,j,k,mean,std,skew,kurtosis,exceed_3sigma,bc
410,5,0,5,-0.0007949282298795879,0.0034597418271005154,0.1546574980020523,2.175858736038208,0.0001,0.4705815613269806
411,5,0,6,-0.0027005397714674473,0.0028122123330831528,0.823592483997345,3.7625067234039307,0.0047,0.4460602104663849
412,5,0,7,-0.003283016150817275,0.001385715906508267,0.3456370234489441,12.0343017578125,0.0339,0.09302284568548203
413,5,0,8,-0.003124276641756296,0.00047074013855308294,-2.555302619934082,52.71760559082031,0.0282,0.14282840490341187
414,5,1,0,-0.003274165792390704,0.0013448208337649703,0.18418052792549133,12.30008602142334,0.0376,0.08405814319849014
415,5,1,1,-0.0014597775880247355,0.0034145668614655733,0.4093581736087799,2.4051873683929443,0.0005,0.4854400157928467
416,5,1,2,0.0026859815698117018,0.0029487053398042917,-0.6905645728111267,3.8837854862213135,0.0077,0.38026800751686096
417,5,1,3,0.004121122881770134,0.0024185350630432367,-0.08137241005897522,3.369112968444824,0.0066,0.29877936840057373
418,5,1,4,0.004323582164943218,0.002395918592810631,0.11522159725427628,2.848815679550171,0.0028,0.35568323731422424
419,5,1,5,0.004119537305086851,0.0024095377884805202,-0.009317710995674133,3.2906382083892822,0.0058,0.3039187788963318
420,5,1,6,0.0026384072843939066,0.0029402233194559813,-0.6533639430999756,3.7827749252319336,0.0074,0.3772057294845581
421,5,1,7,-0.0015002544969320297,0.0034001616295427084,0.3944958448410034,2.384953022003174,0.0004,0.4845491647720337
422,5,1,8,-0.003298964351415634,0.001371381338685751,0.14115186035633087,11.47501277923584,0.0345,0.08888214826583862
423,5,2,0,-0.00279227108694613,0.002766204532235861,0.8867814540863037,4.097574234008789,0.0072,0.43596071004867554
424,5,2,1,0.0026921199169009924,0.0029564122669398785,-0.668266773223877,3.8936386108398438,0.0087,0.37152406573295593
425,5,2,2,0.004544233903288841,0.002535273088142276,0.06418159604072571,2.728238821029663,0.0015,0.36804670095443726
426,5,2,3,0.004360444378107786,0.0026290789246559143,-0.0005261990590952337,2.64009690284729,0.001,0.37877407670021057
427,5,2,4,0.003965246025472879,0.0026976054068654776,-0.03073197416961193,2.69940185546875,0.0006,0.3708023428916931
428,5,2,5,0.00436995318159461,0.002625458873808384,0.00888985488563776,2.7562777996063232,0.0008,0.3628368079662323
429,5,2,6,0.004574177321046591,0.002527418080717325,0.05436373129487038,2.8584201335906982,0.0024,0.3508775532245636
430,5,2,7,0.002620700281113386,0.002963514067232609,-0.6905695199966431,3.8561315536499023,0.0086,0.3829968571662903
431,5,2,8,-0.002745695412158966,0.002756645902991295,0.836089551448822,3.9053561687469482,0.0062,0.4350552260875702
432,5,3,0,-0.0008894607308320701,0.003469505114480853,0.1914684772491455,2.236316680908203,0.0003,0.4635569751262665
433,5,3,1,0.004113198723644018,0.002412941073998809,-0.02457144856452942,3.20893931388855,0.0055,0.31181761622428894
434,5,3,2,0.004338245373219252,0.0026217808481305838,-0.00047697804984636605,2.665693998336792,0.0008,0.3751369118690491
435,5,3,3,0.00203655450604856,0.0029172946233302355,-0.08381766080856323,2.778712272644043,0.0014,0.36240720748901367
436,5,3,4,0.00043420513975434005,0.0031691903714090586,-0.015986720100045204,2.593214273452759,0.0009,0.3857203722000122
437,5,3,5,0.002067925874143839,0.0029448363929986954,-0.06418049335479736,2.7339131832122803,0.0014,0.3672827482223511
438,5,3,6,0.004331198520958424,0.0026368333492428064,-0.033559177070856094,2.737299919128418,0.001,0.36573493480682373
439,5,3,7,0.004074823576956987,0.0024405221920460463,-0.1105077788233757,3.5461928844451904,0.0063,0.28543621301651
440,5,3,8,-0.0009066329221241176,0.003476525889709592,0.1680174022912979,2.1683359146118164,0.0001,0.4742022752761841
441,5,4,0,7.94163643149659e-05,0.0034866586793214083,-0.10536891967058182,2.2103726863861084,0.0002,0.45743533968925476
442,5,4,1,0.004339207429438829,0.002415101509541273,0.05997414514422417,2.9211933612823486,0.0027,0.3435571491718292
443,5,4,2,0.003929084166884422,0.002697619143873453,-0.012915031053125858,2.7142691612243652,0.0016,0.3684847354888916
444,5,4,3,0.0003642239316832274,0.003117599058896303,-0.0463508740067482,2.6264164447784424,0.0007,0.3815649151802063
445,5,4,4,-0.0019844933412969112,0.0032235279213637114,0.03599099442362785,2.577516794204712,0.0007,0.38847285509109497
446,5,4,5,0.00037419371074065566,0.0031271162442862988,-0.036521296948194504,2.6131527423858643,0.0007,0.38318994641304016
447,5,4,6,0.0038910750299692154,0.0027154628187417984,-0.026798471808433533,2.6818981170654297,0.0014,0.3731380105018616
448,5,4,7,0.004258893430233002,0.002407040446996689,0.02805924043059349,2.8215808868408203,0.0024,0.3546903133392334
449,5,4,8,3.92832444049418e-05,0.0034511175472289324,-0.10922890901565552,2.174269914627075,0.0,0.46541184186935425
450,5,5,0,-0.0008649965166114271,0.0034729435574263334,0.20565244555473328,2.226423501968384,0.0003,0.46814677119255066
451,5,5,1,0.0041332305409014225,0.0024376686196774244,-0.12445791065692902,3.423807382583618,0.0057,0.2965966463088989
452,5,5,2,0.004351245705038309,0.002628960646688938,0.058431439101696014,2.7606897354125977,0.0017,0.3634650707244873
453,5,5,3,0.002000503009185195,0.0029453460592776537,-0.08378124982118607,2.7467257976531982,0.0013,0.3666253387928009
454,5,5,4,0.00035095293424092233,0.00313726719468832,-0.03566361218690872,2.617987632751465,0.0007,0.3824585974216461
455,5,5,5,0.0020179040729999542,0.002926551504060626,-0.05100564658641815,2.7598812580108643,0.0012,0.3632770776748657
456,5,5,6,0.004304391331970692,0.002610002411529422,-0.005052183289080858,2.739027261734009,0.0011,0.3651024401187897
457,5,5,7,0.004068977665156126,0.002414433751255274,-0.08759254217147827,3.46037220954895,0.0055,0.29120346903800964
458,5,5,8,-0.0009188654948957264,0.0034446713980287313,0.1910219043493271,2.213658571243286,0.0001,0.46822458505630493
459,5,6,0,-0.0027631388511508703,0.0027979000005871058,0.834710955619812,3.8600566387176514,0.0054,0.4395640790462494
460,5,6,1,0.002675688825547695,0.0029479970689862967,-0.6997793316841125,3.897765636444092,0.0085,0.3821910619735718
461,5,6,2,0.004572728648781776,0.0025201302487403154,0.03844678774476051,2.943629264831543,0.0022,0.3402188718318939
462,5,6,3,0.004327038768678904,0.002644205465912819,-0.004821960814297199,2.7498741149902344,0.0012,0.3636614680290222
463,5,6,4,0.003924036864191294,0.0027200165204703808,-0.009037247858941555,2.727285385131836,0.0007,0.3666948974132538
464,5,6,5,0.004359623417258263,0.002636377001181245,-0.0010368161601945758,2.711000680923462,0.001,0.3688678741455078
465,5,6,6,0.0045326524414122105,0.0025040984619408846,0.08290162682533264,2.817277193069458,0.002,0.3573921024799347
466,5,6,7,0.002657166915014386,0.002919902792200446,-0.7108544707298279,3.951524257659912,0.0086,0.3809451758861542
467,5,6,8,-0.0027738811913877726,0.0027573187835514545,0.8739649653434753,4.052066326141357,0.0055,0.4352877140045166
468,5,7,0,-0.0032600495032966137,0.0013403977500274777,0.34643444418907166,12.062938690185547,0.0355,0.09284775704145432
469,5,7,1,-0.0014738395111635327,0.0033786885906010866,0.3974250555038452,2.3928465843200684,0.0005,0.483920156955719
470,5,7,2,0.002699244301766157,0.0029090556781738997,-0.706158459186554,3.9356472492218018,0.0086,0.38079115748405457
471,5,7,3,0.004100878722965717,0.002378719625994563,-0.12994572520256042,3.6104817390441895,0.0075,0.2816482484340668
472,5,7,4,0.0042669265531003475,0.0023866347037255764,0.04096193239092827,2.9453370571136475,0.0029,0.3400893807411194
473,5,7,5,0.004109958652406931,0.0023719421587884426,-0.07609759271144867,3.3905444145202637,0.007,0.2966458201408386
474,5,7,6,0.002676891628652811,0.0029113884083926678,-0.7021875977516174,3.931786298751831,0.0086,0.3797427713871002
475,5,7,7,-0.0015317255165427923,0.0033848437014967203,0.41883158683776855,2.4424445629119873,0.0004,0.48124733567237854
476,5,7,8,-0.003286561230197549,0.0013646706938743591,0.1709805428981781,11.903488159179688,0.0366,0.08646493405103683
477,5,8,0,-0.003133921418339014,0.0005153100355528295,-3.3214364051818848,48.760467529296875,0.029,0.24675603210926056
478,5,8,1,-0.003281682264059782,0.00140881328843534,0.2657313644886017,11.321417808532715,0.0338,0.09456528723239899
479,5,8,2,-0.002677690703421831,0.0028182193636894226,0.8305366039276123,3.7591872215270996,0.0057,0.4495096504688263
480,5,8,3,-0.000742791744414717,0.0034615816548466682,0.1392914354801178,2.1763176918029785,0.0001,0.4684068560600281
481,5,8,4,0.00017547830066177994,0.003466213122010231,-0.14564679563045502,2.2201988697052,0.0,0.4599646329879761
482,5,8,5,-0.0008028820739127696,0.0035006520338356495,0.15477105975151062,2.144878625869751,0.0001,0.47739484906196594
483,5,8,6,-0.0027193522546440363,0.002799930050969124,0.8156861066818237,3.827221393585205,0.0048,0.4351312816143036
484,5,8,7,-0.0032872238662093878,0.0014041230315342546,0.45685240626335144,12.042061805725098,0.0335,0.10037434846162796
485,5,8,8,-0.0031260743271559477,0.0004642822314053774,-2.325575113296509,52.114925384521484,0.0274,0.1229647621512413
486,6,0,0,-0.0031063477508723736,0.00038778805173933506,-0.7272951006889343,63.292476654052734,0.0215,0.024157026782631874
487,6,0,1,-0.003207201836630702,0.0008843340910971165,-1.2002533674240112,22.912206649780273,0.035,0.10651998966932297
488,6,0,2,-0.003267617430537939,0.001921558752655983,0.845221996307373,7.404749870300293,0.0226,0.23152710497379303
