sample_idx,mse,magnitude_mse,psnr,magnitude_psnr,max_val,max_magnitude,n_points,n_atoms
3187,0.00528735900297761,0.005879780277609825,22.76134490966797,22.306379318237305,0.999278724193573,0.9999989867210388,500,50
3188,0.0034916833974421024,0.005506641697138548,24.5444278717041,22.59112548828125,0.9971001148223877,0.9999993443489075,500,41
3189,0.004798480309545994,0.006043006666004658,23.180679321289062,22.187456130981445,0.9990468621253967,0.9999985694885254,500,50
3190,0.004911060910671949,0.0068596769124269485,23.086360931396484,21.636959075927734,0.9997828602790833,0.9999996423721313,500,34
3191,0.0048754834569990635,0.005860759411007166,23.107452392578125,22.320457458496094,0.9985766410827637,0.9999995827674866,500,47
3192,0.005705479998141527,0.008895202539861202,22.429786682128906,20.508441925048828,0.9991608262062073,0.9999999403953552,500,36
3193,0.0054670474492013454,0.00613019336014986,22.619354248046875,22.125255584716797,0.9996413588523865,0.9999996423721313,500,54
3194,0.0029227586928755045,0.003929763101041317,25.335548400878906,24.05632972717285,0.9992492198944092,0.9999991059303284,500,59
3195,0.004181510768830776,0.005817372817546129,23.774173736572266,22.35272979736328,0.9985623955726624,0.9999997019767761,500,51
3196,0.005608552135527134,0.00929299183189869,22.50326919555664,20.31844139099121,0.9990537762641907,0.9999998807907104,500,38
3197,0.003035503439605236,0.00400822376832366,25.154787063598633,23.970409393310547,0.9973664879798889,0.9999918341636658,500,52
3198,0.00498765567317605,0.0063280025497078896,23.003494262695312,21.987333297729492,0.9979826211929321,0.9999999403953552,500,53
3199,0.004821473266929388,0.008870626799762249,23.132205963134766,20.52043914794922,0.9958643913269043,0.9999980926513672,500,38
3200,0.003501342376694083,0.004122142679989338,24.550249099731445,23.848766326904297,0.9991476535797119,0.9999996423721313,500,51
3201,0.0033110352233052254,0.004476655274629593,24.78400993347168,23.49038314819336,0.9981192946434021,0.9999907612800598,500,58
3202,0.00440241489559412,0.007205164525657892,23.528749465942383,21.423540115356445,0.9960542321205139,0.9999975562095642,500,42
